skill_id,skill_name,aliases,description,taxonomy,original_id
SKILL_0000071,resolve conflicts,"demonstrate willingness to compromise, mediate in tense debate, mediate in conflicts, handle tense situation, mediate tense situations, mediate in collisions, be able to find compromises, handle tense situations, mediate in debates, manage conflicts, act as mediator, be able to create consensus","Mediate in conflicts and tense situations by acting between parties, striving to effect an agreement, reconciliate, and resolve problems. Settle a conflict in such a way that none of the victims feels badly treated and avoid arguments in advance.",esco,http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f
SKILL_0000072,appreciate diverse cultural and artistic expression,"have a feeling for aesthetics, appreciate cultural heritage, appreciate artistic expressions, demonstrate cultural awareness","Demonstrate asthetic sensibility, interest for and opennes to cultural expressions from different cultural backgrounds.",esco,http://data.europa.eu/esco/skill/98a999db-72d5-4657-a0b0-2f850afd4368
SKILL_0000073,demonstrate willingness to learn,"display willingness to learn, work towards own potential, show self-knowledge, show willingness to learn, exhibit willingness to learn, direct own learning",Show a positive attitude towards new and challenging demands that can only be met via lifelong learning.,esco,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b
SKILL_0000074,"use equipment, tools or technology with precision","carry out manual activities, use hand tools, demonstrate technical acumen, use precision instrumentation","Use workpieces, tools, precision instrumentation or equipment independently to carry out manual activities, with or without minimal training.",esco,http://data.europa.eu/esco/skill/9c0f93f7-2592-4d4d-9673-fd640502345f
SKILL_0000075,maintain concentration for long periods,"maintain concentration for extended periods, stay concentrated for long periods, focus for prolonged periods, preserve concentration for long periods, work in a focused manner, keep focused for extended periods, stay focused for extended periods of time, keep concentration for long periods, maintain focus for long periods of time",Stay concentrated over a long period of time in order to make correct judgements and appropriate decisions.,esco,http://data.europa.eu/esco/skill/9cfd2219-553c-4d67-81e5-951e87c65135
SKILL_0000076,identify problems,"diagnose problems, detect problems, signal problems",Identify and detect problems and issues and decide on the best course of action. Report problems accordingly when needed.,esco,http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996
SKILL_0000077,maintain physical fitness,"keep yourself in good conditions, apply preventive healthy behaviours, adopt an healthy lifestyle, care about your fitness","Adopt and apply preventive healthy behaviours, including regular physical exercise, a healthy sleep-routine, and a healthy diet.",esco,http://data.europa.eu/esco/skill/a68bdf1e-b325-4880-b456-192c2891931a
SKILL_0000078,solve problems,"develop strategies to solve problems, demonstrate problem solving skills, resolve problems, develop strategy to solve problems, create strategies to solve problems, act intuitevely, create solutions to problems, manage problems, come up with strategy to solve problems, apply problem solving","Find solutions to practical, operational or conceptual problems in a wide range of contexts.",esco,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869
SKILL_0000079,delegate responsibilities,"delegate activities, distribute activities, delegate tasks, delegate activities to others, delegate, share duties, distribute tasks, share tasks","Delegate responsibilities, activities and tasks to others according to the ability, level of preparation and competence. Make sure that people understand what they should do and when they should do it.",esco,http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9
SKILL_0000080,use communication and collaboration software,"communicate in digital environments, communicate online, use e-mail software and services, communicate on-line, interact through ICT","Use simple digital tools and technologies for communicating, interacting and collaborating with others.",esco,http://data.europa.eu/esco/skill/b080a008-a35d-4bd0-92e9-edf3773bb2b7
